permno,adate,qdate,public_date,pe_exi,TICKER
86868,2010-12-31,2010-12-31,2011-03-31,12.033,GS
86868,2010-12-31,2010-12-31,2011-04-30,11.458,GS
86868,2010-12-31,2011-03-31,2011-05-31,15.448,GS
86868,2010-12-31,2011-03-31,2011-06-30,14.609,GS
86868,2010-12-31,2011-03-31,2011-07-31,14.816,GS
86868,2010-12-31,2011-06-30,2011-08-31,11.428,GS
86868,2010-12-31,2011-06-30,2011-09-30,9.297,GS
86868,2010-12-31,2011-06-30,2011-10-31,10.772,GS
86868,2010-12-31,2011-09-30,2011-11-30,14.770,GS
86868,2010-12-31,2011-09-30,2011-12-31,13.934,GS
86868,2010-12-31,2011-09-30,2012-01-31,17.176,GS
86868,2011-12-31,2011-12-31,2012-02-29,25.530,GS
86868,2011-12-31,2011-12-31,2012-03-31,27.576,GS
86868,2011-12-31,2011-12-31,2012-04-30,25.532,GS
86868,2011-12-31,2012-03-31,2012-05-31,14.136,GS
86868,2011-12-31,2012-03-31,2012-06-30,14.160,GS
86868,2011-12-31,2012-03-31,2012-07-31,14.904,GS
86868,2011-12-31,2012-06-30,2012-08-31,15.732,GS
86868,2011-12-31,2012-06-30,2012-09-30,16.917,GS
86868,2011-12-31,2012-06-30,2012-10-31,18.213,GS
86868,2011-12-31,2012-09-30,2012-11-30,11.315,GS
86868,2011-12-31,2012-09-30,2012-12-31,12.254,GS
86868,2011-12-31,2012-09-30,2013-01-31,14.204,GS
86868,2012-12-31,2012-12-31,2013-02-28,10.599,GS
86868,2012-12-31,2012-12-31,2013-03-31,10.414,GS
86868,2012-12-31,2012-12-31,2013-04-30,10.338,GS
86868,2012-12-31,2013-03-31,2013-05-31,11.163,GS
86868,2012-12-31,2013-03-31,2013-06-30,10.417,GS
86868,2012-12-31,2013-03-31,2013-07-31,11.297,GS
86868,2012-12-31,2013-06-30,2013-08-31,9.254,GS
86868,2012-12-31,2013-06-30,2013-09-30,9.623,GS
86868,2012-12-31,2013-06-30,2013-10-31,9.785,GS
86868,2012-12-31,2013-09-30,2013-11-30,10.245,GS
86868,2012-12-31,2013-09-30,2013-12-31,10.750,GS
86868,2012-12-31,2013-09-30,2014-01-31,9.953,GS
86868,2013-12-31,2013-12-31,2014-02-28,10.766,GS
86868,2013-12-31,2013-12-31,2014-03-31,10.598,GS
86868,2013-12-31,2013-12-31,2014-04-30,10.338,GS
86868,2013-12-31,2014-03-31,2014-05-31,10.514,GS
86868,2013-12-31,2014-03-31,2014-06-30,11.016,GS
86868,2013-12-31,2014-03-31,2014-07-31,11.373,GS
86868,2013-12-31,2014-06-30,2014-08-31,11.474,GS
86868,2013-12-31,2014-06-30,2014-09-30,11.760,GS
86868,2013-12-31,2014-06-30,2014-10-31,12.171,GS
86868,2013-12-31,2014-09-30,2014-11-30,10.897,GS
86868,2013-12-31,2014-09-30,2014-12-31,11.211,GS
86868,2013-12-31,2014-09-30,2015-01-31,9.972,GS
86868,2014-12-31,2014-12-31,2015-02-28,11.118,GS
86868,2014-12-31,2014-12-31,2015-03-31,11.012,GS
86868,2014-12-31,2014-12-31,2015-04-30,11.507,GS
86868,2014-12-31,2015-03-31,2015-05-31,10.858,GS
86868,2014-12-31,2015-03-31,2015-06-30,10.995,GS
86868,2014-12-31,2015-03-31,2015-07-31,10.799,GS
86868,2014-12-31,2015-06-30,2015-08-31,11.173,GS
86868,2014-12-31,2015-06-30,2015-09-30,10.294,GS
86868,2014-12-31,2015-06-30,2015-10-31,11.108,GS
86868,2014-12-31,2015-09-30,2015-11-30,12.485,GS
86868,2014-12-31,2015-09-30,2015-12-31,11.842,GS
86868,2014-12-31,2015-09-30,2016-01-31,10.615,GS
86868,2015-12-31,2015-12-31,2016-02-29,12.317,GS
86868,2015-12-31,2015-12-31,2016-03-31,12.931,GS
86868,2015-12-31,2015-12-31,2016-04-30,13.518,GS
86868,2015-12-31,2016-03-31,2016-05-31,18.061,GS
86868,2015-12-31,2016-03-31,2016-06-30,16.827,GS
86868,2015-12-31,2016-03-31,2016-07-31,17.985,GS
86868,2015-12-31,2016-06-30,2016-08-31,16.047,GS
